"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-01T09:00:00","2010-05-01","1.95","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-02T09:00:00","2010-05-02","1.84","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-03T09:00:00","2010-05-03","1.8","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-04T09:00:00","2010-05-04","1.77","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-05T09:00:00","2010-05-05","1.75","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-06T09:00:00","2010-05-06","1.77","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-07T09:00:00","2010-05-07","1.73","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-08T09:00:00","2010-05-08","1.74","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-09T09:00:00","2010-05-09","1.72","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-10T09:00:00","2010-05-10","1.65","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-11T09:00:00","2010-05-11","1.6","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-12T09:00:00","2010-05-12","1.56","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-13T09:00:00","2010-05-13","1.53","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-14T09:00:00","2010-05-14","1.54","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-15T09:00:00","2010-05-15","1.55","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-16T09:00:00","2010-05-16","1.54","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-17T09:00:00","2010-05-17","1.51","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-18T09:00:00","2010-05-18","1.49","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-19T09:00:00","2010-05-19","1.47","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-20T09:00:00","2010-05-20","1.44","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-05-21T09:00:00","2010-05-21","1.45","Complete","Good",""
