ID,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,NH3 un-ion,Ammonia un-ionised as N,119,NA,0.00161,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.2,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Temp Water,Temperature of Water,76,NA,8.3,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Oxygen Diss,"Oxygen, Dissolved as O2",9924,NA,11.3,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,TurbidityNTU,Turbidity,6396,NA,2.4,NA,ntu,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,96.2,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3444485-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,01/03/2022 15:31,Cond @ 25C,Conductivity at 25 C,77,NA,696,NA,us/cm,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,NA,87,NA,%,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Orthophospht,"Orthophosphate, reactive as P",180,NA,0.3,NA,mg/l,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3451514-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,26/05/2022 10:26,Temp Water,Temperature of Water,76,NA,15.6,NA,cel,RIVER / RUNNING SURFACE WATER,FALSE,MONITORING  (UK GOVT POLICY - NOT GQA OR RE),341559,126644
